Sort method;Array type;Amount;Time;Operations
shellSortCiuraSequence;fill0To5;800;31366;25592
shellSortShellSequence;fill0To5;800;44033;32054
binaryInsertionSort;fill0To4000;800;136256;5912
bubbleSort;fill0To4000;800;1377090;1920799
bubbleSortIverson1;fill0To4000;800;3426;4805
bubbleSortIverson2;fill0To4000;800;7053;9602
countingSort;fill0To4000;800;52940;15995
heapSort;fill0To4000;800;196000;114822
insertionSort;fill0To4000;800;5716;7194
mergeSort;fill0To4000;800;358590;88416
quickSort;fill0To4000;800;27996;17645
selectionSort;fill0To4000;800;1281266;964396
shellSortCiuraSequence;fill0To4000;800;30600;25592
shellSortShellSequence;fill0To4000;800;43893;32054
binaryInsertionSort;almostSorted;800;127843;5596
bubbleSort;almostSorted;800;1377896;1920799
bubbleSortIverson1;almostSorted;800;3436;4805
bubbleSortIverson2;almostSorted;800;7083;9602
countingSort;almostSorted;800;23840;6407
heapSort;almostSorted;800;195546;115367
insertionSort;almostSorted;800;5456;7194
mergeSort;almostSorted;800;361453;88416
quickSort;almostSorted;800;27506;17484
selectionSort;almostSorted;800;1281450;964396
shellSortCiuraSequence;almostSorted;800;30613;25592
shellSortShellSequence;almostSorted;800;44210;32054
binaryInsertionSort;backwardSorted;800;153410;5596
bubbleSort;backwardSorted;800;1383626;1920799
bubbleSortIverson1;backwardSorted;800;3656;4805
bubbleSortIverson2;backwardSorted;800;7046;9602
countingSort;backwardSorted;800;44856;16307
heapSort;backwardSorted;800;195726;115367
insertionSort;backwardSorted;800;5686;7194
mergeSort;backwardSorted;800;358630;88416
quickSort;backwardSorted;800;26866;17484
selectionSort;backwardSorted;800;1281416;964396
shellSortCiuraSequence;backwardSorted;800;30570;25592
shellSortShellSequence;backwardSorted;800;44273;32054
binaryInsertionSort;fill0To5;900;502353;329484
bubbleSort;fill0To5;900;1752846;2430899
bubbleSortIverson1;fill0To5;900;4100;5405
bubbleSortIverson2;fill0To5;900;7916;10802
countingSort;fill0To5;900;21463;4519
heapSort;fill0To5;900;171046;99760
insertionSort;fill0To5;900;6140;8094
mergeSort;fill0To5;900;401500;100640
quickSort;fill0To5;900;55303;23510
selectionSort;fill0To5;900;1620336;1219946
shellSortCiuraSequence;fill0To5;900;34856;29192
shellSortShellSequence;fill0To5;900;50350;36059
binaryInsertionSort;fill0To4000;900;156720;6696
bubbleSort;fill0To4000;900;1739853;2430899
bubbleSortIverson1;fill0To4000;900;3860;5405
bubbleSortIverson2;fill0To4000;900;7940;10802
countingSort;fill0To4000;900;62076;16501
heapSort;fill0To4000;900;222140;131226
insertionSort;fill0To4000;900;6126;8094
mergeSort;fill0To4000;900;403076;100640
quickSort;fill0To4000;900;31206;19733
selectionSort;fill0To4000;900;1624250;1219946
shellSortCiuraSequence;fill0To4000;900;34900;29192
shellSortShellSequence;fill0To4000;900;49596;36059
binaryInsertionSort;almostSorted;900;148796;6296
bubbleSort;almostSorted;900;1740166;2430899
bubbleSortIverson1;almostSorted;900;4096;5405
bubbleSortIverson2;almostSorted;900;7670;10802
countingSort;almostSorted;900;26950;7207
heapSort;almostSorted;900;221466;131678
insertionSort;almostSorted;900;6363;8094
mergeSort;almostSorted;900;402906;100640
quickSort;almostSorted;900;28916;19284
selectionSort;almostSorted;900;1627113;1219946
shellSortCiuraSequence;almostSorted;900;34863;29192
shellSortShellSequence;almostSorted;900;49313;36059
binaryInsertionSort;backwardSorted;900;182790;6296
bubbleSort;backwardSorted;900;1741130;2430899
bubbleSortIverson1;backwardSorted;900;4106;5405
bubbleSortIverson2;backwardSorted;900;7793;10802
countingSort;backwardSorted;900;47426;16807
heapSort;backwardSorted;900;229986;131678
insertionSort;backwardSorted;900;6133;8094
mergeSort;backwardSorted;900;401610;100640
quickSort;backwardSorted;900;29606;19284
selectionSort;backwardSorted;900;1636306;1219946
shellSortCiuraSequence;backwardSorted;900;34856;29192
shellSortShellSequence;backwardSorted;900;49553;36059
binaryInsertionSort;fill0To5;1000;602413;406356
bubbleSort;fill0To5;1000;2150523;3000999
bubbleSortIverson1;fill0To5;1000;4506;6005
bubbleSortIverson2;fill0To5;1000;8740;12002
countingSort;fill0To5;1000;23733;5019
heapSort;fill0To5;1000;189933;111004
insertionSort;fill0To5;1000;7023;8994
mergeSort;fill0To5;1000;449410;112812
quickSort;fill0To5;1000;63486;26539
selectionSort;fill0To5;1000;2006786;1505496
shellSortCiuraSequence;fill0To5;1000;39180;32792
shellSortShellSequence;fill0To5;1000;55116;40069
binaryInsertionSort;fill0To4000;1000;180720;7468
bubbleSort;fill0To4000;1000;2146903;3000999
bubbleSortIverson1;fill0To4000;1000;4276;6005
bubbleSortIverson2;fill0To4000;1000;8750;12002
countingSort;fill0To4000;1000;60053;17001
heapSort;fill0To4000;1000;250510;147867
insertionSort;fill0To4000;1000;6793;8994
mergeSort;fill0To4000;1000;449983;112812
quickSort;fill0To4000;1000;34753;22024
selectionSort;fill0To4000;1000;2035980;1505496
shellSortCiuraSequence;fill0To4000;1000;39563;32792
shellSortShellSequence;fill0To4000;1000;55116;40069
binaryInsertionSort;almostSorted;1000;168503;6996
bubbleSort;almostSorted;1000;2197370;3000999
bubbleSortIverson1;almostSorted;1000;4286;6005
bubbleSortIverson2;almostSorted;1000;8750;12002
countingSort;almostSorted;1000;29773;8007
heapSort;almostSorted;1000;249486;148186
insertionSort;almostSorted;1000;7040;8994
mergeSort;almostSorted;1000;445103;112812
quickSort;almostSorted;1000;31940;21084
selectionSort;almostSorted;1000;1998546;1505496
shellSortCiuraSequence;almostSorted;1000;39756;32792
shellSortShellSequence;almostSorted;1000;56313;40069
binaryInsertionSort;backwardSorted;1000;210216;6996
bubbleSort;backwardSorted;1000;2156073;3000999
bubbleSortIverson1;backwardSorted;1000;4533;6005
bubbleSortIverson2;backwardSorted;1000;8750;12002
countingSort;backwardSorted;1000;49753;17307
heapSort;backwardSorted;1000;249433;148186
insertionSort;backwardSorted;1000;7050;8994
mergeSort;backwardSorted;1000;448243;112812
quickSort;backwardSorted;1000;31520;21084
